"subind","N","rt_mean","rt_se","acc_mean","acc_se","groups"
"0_009",2,4.37073993683,0.20415902138,0.857358870967742,0.0136088709677419,"A_first"
"0_013",3,4.75159347057167,0.159258371922008,0.8125,0.0541265877365274,"A_first"
"0_018",3,4.37103851636333,0.175373318923811,0.854166666666667,0.0454051973285487,"A_first"
"0_025",1,3.124225497245,NA,0.625,NA,"A_first"
"0_040",1,3.52407693863,NA,0.90625,NA,"A_first"
"0_054",2,5.46713745594,0.0820704698600001,0.6875,0.03125,"A_first"
"0_057",2,3.977039515975,0.344612538815,0.890625,0.015625,"A_first"
"0_068",2,2.80528229475,0.0782641768499999,0.921875,0.046875,"A_first"
"1_001",3,4.92339364687667,0.0594233664399042,0.864583333333333,0.0208333333333333,"A_first"
"1_002",2,4.5054747462275,0.2326077818875,0.828125,0.015625,"A_first"
"1_004",3,5.62913080056333,0.133149053048689,0.697916666666667,0.0375578257860832,"A_first"
"1_007",2,5.09861558676,0.0931734442700001,0.875,0.0625,"A_first"
"1_015",2,6.266299963,0.0659849643700001,0.734375,0.015625,"A_first"
"1_020",2,5.22244977951,0.35142123699,0.75,0,"A_first"
"1_028",2,4.6235164403925,0.0814245939274998,0.828125,0.046875,"A_first"
"2_008",3,4.22394768397,0.119794140923226,0.90625,0.0650520624833166,"A_first"
"2_010",3,4.55225344499,0.0981971969391134,0.833333333333333,0.0454051973285487,"A_first"
"2_011",2,4.50216782093,0.3303886652,0.703125,0.046875,"A_first"
"2_027",3,3.804541309675,0.159865069243321,0.833333333333333,0.0454051973285487,"A_first"
"2_031",3,3.272897322975,0.0996095699979238,0.875,0.0180421959121758,"A_first"
"0_013_second",1,4.12705051899,NA,0.838709677419355,NA,"A_second"
"0_026_second",1,4.9476351738,NA,0.65625,NA,"A_second"
"0_049_second",3,4.00392647584167,0.225022643169757,0.875,0.03125,"A_second"
"0_055_second",3,4.91204194227833,0.0851881710822068,0.729166666666667,0.0275599094902562,"A_second"
"1_001_second",2,4.457016587255,0.178525567055,0.875,0.03125,"A_second"
"1_004_second",2,5.776787161825,0.163695931434999,0.890625,0.015625,"A_second"
"1_015_second",3,6.33792396386333,0.324148006678063,0.739583333333333,0.0375578257860832,"A_second"
"1_020_second",3,4.50024151801833,0.319117427310754,0.833333333333333,0.0104166666666667,"A_second"
"1_028_second",3,3.42731634776,0.0689559279882022,0.78125,0.0360843918243516,"A_second"
"1_036_second",2,5.0330992937075,0.2860487699525,0.703125,0.015625,"A_second"
"2_005_second",3,5.033281763395,0.418208499696156,0.864583333333333,0.0375578257860832,"A_second"
"2_008_second",3,4.49071208636,0.155290736016176,0.916666666666667,0.0275599094902562,"A_second"
"2_010_second",3,4.52419618765667,0.316542981364761,0.84375,0.0477351634891233,"A_second"
"2_031_second",2,3.821044683455,0.0572302341450002,0.921875,0.046875,"A_second"
"2_034_second",2,5.3537202477475,0.5299476981175,0.71875,0.03125,"A_second"
"2_048_second",2,5.18254649639,0.22995746136,0.90625,0.0625,"A_second"
"0_013_third",3,4.12242388725333,0.132320049667436,0.874327956989247,0.0472979363922951,"A_third"
"0_026_third",2,5.6038639545425,0.3151254653925,0.8125,0.125,"A_third"
"1_001_third",3,3.87319084008667,0.0740964764656064,0.9375,0.0180421959121758,"A_third"
"1_004_third",3,5.672711451845,0.141462930886689,0.833333333333333,0.081356767457361,"A_third"
"1_007_third",3,4.25033926963833,0.176128190394163,0.895833333333333,0.0275599094902562,"A_third"
"1_036_third",3,4.44609562556,0.0998980441485477,0.822916666666667,0.0208333333333333,"A_third"
"2_003_third",1,4.44805598259,NA,0.84375,NA,"A_third"
"2_005_third",3,4.18959267934333,0.192970474140351,0.916666666666667,0.0104166666666667,"A_third"
"2_008_third",3,3.39848148822833,0.360316347607986,0.9375,0.0180421959121758,"A_third"
"2_010_third",3,4.272843201955,0.0800255131655066,0.822916666666667,0.0104166666666667,"A_third"
"2_034_third",3,4.53101702531333,0.131126416630615,0.895833333333333,0.0551198189805123,"A_third"
"ldrc2_0_104",3,4.04178110758667,0.108815672592038,0.914986559139785,0.0391908264722939,"A2_first"
"ldrc2_0_122",2,4.3093944788,0.12299954891,0.84375,0.0625,"A2_first"
"ldrc2_0_123",2,3.661180257795,0.634461283685,0.90625,0.03125,"A2_first"
"ldrc2_0_124",2,3.1208737492575,0.1721146702775,0.890625,0.078125,"A2_first"
"ldrc2_0_137",3,4.49437634150333,0.0648821630269107,0.833333333333333,0.0275599094902562,"A2_first"
"ldrc2_0_140",3,5.35560711224833,0.246135527351321,0.84375,0.0477351634891233,"A2_first"
"ldrc2_0_143",3,4.44697833061167,0.299881595536681,0.875,0.03125,"A2_first"
"ldrc2_0_145",3,3.98774405320333,0.386507941485481,0.96875,0.0180421959121758,"A2_first"
"ldrc2_0_151",3,4.788208007815,0.104948263074186,0.84375,0.0477351634891233,"A2_first"
"ldrc2_0_172",3,4.54795285065833,0.133234357243276,0.947916666666667,0.0275599094902562,"A2_first"
"ldrc2_1_129",1,3.141140937805,NA,0.875,NA,"A2_first"
"ldrc2_1_133",3,4.10559570789167,0.154642680717978,0.833333333333333,0.0275599094902562,"A2_first"
"ldrc2_1_139",1,6.19374585152,NA,0.84375,NA,"A2_first"
"ldrc2_1_141",3,4.75526205698333,0.546622754101636,0.78125,0.0625,"A2_first"
"ldrc2_1_147",2,5.73736524582,0.0876632928849999,0.75,0.0625,"A2_first"
"ldrc2_1_152",1,4.34093689919,NA,0.90625,NA,"A2_first"
"ldrc2_1_157",3,2.99895377954,0.115596996300445,0.927083333333333,0.0104166666666667,"A2_first"
"ldrc2_1_173",3,3.24804151058333,0.0811135014432178,0.916666666666667,0.0375578257860832,"A2_first"
"0_122_second",3,3.37630546093167,0.122525903352653,0.904233870967742,0.0558816998045774,"A2_second"
"0_140_second",2,4.32330733538,0.36920684576,0.796875,0.078125,"A2_second"
"0_151_second",3,4.01384294032833,0.208475767272263,0.9375,0.03125,"A2_second"
"1_115_second",1,3.69735646248,NA,1,NA,"A2_second"
"1_134_second",2,4.2603956461,0.44852244854,0.75,0.03125,"A2_second"
"1_139_second",3,5.971332351365,0.0992107841806382,0.833333333333333,0.0454051973285487,"A2_second"
"1627_2",2,5.90315318519,0.49360735654,0.618951612903226,0.00604838709677419,"H_first"
"1794_1",1,6.5975909127,NA,0.65625,NA,"H_first"
"1794_1_second",1,5.40758810672,NA,0.67741935483871,NA,"H_second"
"1986_1_second",2,4.70817271904,0.19855087581,0.734375,0.015625,"H_second"
"2436_2_second",3,3.76593951256833,0.173448692832623,0.875,0.0477351634891233,"H_second"
"2569_2_second",3,5.42157744010167,0.546249069338845,0.760416666666667,0.0890000390137243,"H_second"
"1496_2_third",3,3.61321177915833,0.243269913531447,0.777889784946237,0.0570613591364407,"H_third"
"1589_2_third",2,3.9341784022925,0.3811889100225,0.703125,0.015625,"H_third"
"1690_2_third",3,3.45525347688167,0.129574289474479,0.822916666666667,0.0729166666666667,"H_third"
"1697_1_third",3,3.99934305008,0.124837817035915,0.854166666666667,0.0104166666666667,"H_third"
"2167_2_third",2,4.237802155595,0.307508639225,0.71875,0.0625,"H_third"
"2416_1_third",3,5.36670185866667,0.287367968339582,0.822916666666667,0.0208333333333333,"H_third"
"2479_1_third",3,4.41107210008,0.225947718639851,0.864583333333333,0.0751156515721664,"H_third"
"2569_2_third",3,4.30221652110667,0.250652103542085,0.895833333333333,0.0104166666666667,"H_third"
"2798_1_third",1,5.51909130169,NA,0.65625,NA,"H_third"
"LDFHO10238_1",1,4.71597208558,NA,0.709677419354839,NA,"H_first2"
"LDFHO10297_1",2,3.97103850851,0.11716958119,0.859375,0.015625,"H_first2"
"LDFHO10328_1",3,4.10224508354,0.1453636467463,0.760416666666667,0.0416666666666667,"H_first2"
"LDFHO10493_1",2,3.3949568675825,0.2785046743775,0.921875,0.015625,"H_first2"
"/LDFHO1794_1",2,5.0013471556225,0.3063930525575,0.703125,0.046875,"H_first2"
"/LDFHO5782_1",3,3.900560738725,0.299898941969104,0.75,0.0477351634891233,"H_first2"
"/LDFHO9087_1",2,2.795789233705,0.258630172385,0.921875,0.015625,"H_first2"
"c_032",3,4.03859484195667,0.0843190723449436,0.832997311827957,0.0810773310449771,"A_control"
"c_037",2,3.21496939659,0.0819175243400001,0.953125,0.046875,"A_control"
"c_039",3,3.79877646764167,0.468523218446155,0.854166666666667,0.0416666666666667,"A_control"
"c_043",3,5.01504019895833,0.0783058983059348,0.770833333333333,0.0633621096906065,"A_control"
"c_044",2,4.260716080665,0.0909119844450004,0.890625,0.015625,"A_control"
"c_045",2,3.151875913145,0.188432991505,0.984375,0.015625,"A_control"
"c_046",2,3.63723528385,0.27955687046,0.984375,0.015625,"A_control"
"c_047",2,3.4821256995175,0.2895507216475,0.890625,0.046875,"A_control"
"c_058",2,1.72517955303,0.0447794199,0.96875,0,"A_control"
"c_059",3,2.62736248970167,0.0835250715016684,0.979166666666667,0.0104166666666667,"A_control"
"c_061",3,4.06922904650333,0.0699049630978335,0.822916666666667,0.0551198189805123,"A_control"
"c_062",2,3.780950784685,0.00938868522500003,0.859375,0.046875,"A_control"
"c_078",2,2.887956500055,0.250172495845,0.90625,0.0625,"A_control"
"c_079",3,4.48920675118833,0.578820564307314,0.916666666666667,0.0104166666666667,"A_control"
"c_081",3,3.484649181365,0.413023113401554,0.895833333333333,0.0416666666666667,"A_control"
"c_082",3,2.86636734008833,0.14332753036429,0.895833333333333,0.0208333333333333,"A_control"
"c_084",3,3.412345369655,0.123539353480051,0.989583333333333,0.0104166666666667,"A_control"
"c_085",2,3.32694900036,0.10731995106,0.890625,0.046875,"A_control"
"c_086",3,3.39153683185667,0.174380533475195,0.90625,0.0180421959121758,"A_control"
"c_101",3,2.853226065635,0.185754829198409,0.947916666666667,0.0520833333333333,"A_control"
"c_103",2,4.3925229907025,0.0780959725374997,0.734375,0.046875,"A_control"
"8957",3,5.36458684405667,0.184024832324199,0.652217741935484,0.0216284073141856,"H_control_first"
"8960",3,5.26618206732167,0.329540686955921,0.8125,0.0477351634891233,"H_control_first"
"8961",3,3.06263717188167,0.136182823051282,0.9375,0.0180421959121758,"H_control_first"
"8963",3,3.54364882906667,0.0179586058063752,0.947916666666667,0.0104166666666667,"H_control_first"
"8972",3,3.65411670745667,0.249518940129775,0.885416666666667,0.0104166666666667,"H_control_first"
"8960_c_second",3,3.85999251385667,0.080110530899609,0.810819892473118,0.0304447351948877,"H_control_second"
"8961_c_second",3,2.68804465187167,0.022899666518908,0.9375,0.0360843918243516,"H_control_second"
"8963_c_second",3,3.80346411992,0.245033165118344,0.947916666666667,0.0208333333333333,"H_control_second"
"8967_c_second",3,3.12750664084667,0.0607862734530736,0.958333333333333,0.0208333333333333,"H_control_second"
"8972_c_second",3,3.73874545218833,0.0545123076045117,0.864583333333333,0.0275599094902562,"H_control_second"
"8974_c_second",2,3.39930547187,0.12741695039,0.953125,0.046875,"H_control_second"
