"subind","group","N","rt_mean","rt_sd","acc_mean","acc_sd","group2","city","ID","ID2","rep"
"0_009","A_first",2,4.346381247045,0.323172846372001,0.859375,0.0220970869120796,"first","austin","0","0","u"
"0_013","A_first",3,4.75159347057167,0.275843591699619,0.8125,0.09375,"first","austin","0","0","u"
"0_018","A_first",3,4.37103851636333,0.303755498668021,0.854166666666667,0.078644108700737,"first","austin","0","0","u"
"0_025","A_first",1,3.124225497245,NA,0.625,NA,"first","austin","0","0","u"
"0_057","A_first",2,3.977039515975,0.487355726155998,0.890625,0.0220970869120796,"first","austin","0","0","u"
"1_001","A_first",3,4.92339364687667,0.102924289830697,0.864583333333333,0.0360843918243516,"first","austin","1","1","r"
"1_002","A_first",2,4.5054747462275,0.328957079858825,0.828125,0.0220970869120796,"first","austin","1","1","u"
"1_004","A_first",3,5.62913080056333,0.230620924860013,0.697916666666667,0.0650520624833166,"first","austin","1","1","r"
"1_015","A_first",2,6.266299963,0.0933168315247596,0.734375,0.0220970869120796,"first","austin","1","1","r"
"1_020","A_first",2,5.22244977951,0.496984679457188,0.75,0,"first","austin","1","1","r"
"1_028","A_first",2,4.6235164403925,0.115151765042992,0.828125,0.0662912607362388,"first","austin","1","1","r"
"2_008","A_first",3,4.22394768397,0.207489538528094,0.90625,0.11267347735825,"first","austin","2","1","r"
"2_010","A_first",3,4.55225344499,0.170082534259391,0.833333333333333,0.078644108700737,"first","austin","2","1","r"
"2_011","A_first",2,4.50216782093,0.467240131180184,0.703125,0.0662912607362388,"first","austin","2","1","u"
"2_027","A_first",3,3.804541309675,0.276894422284948,0.833333333333333,0.078644108700737,"first","austin","2","1","u"
"2_031","A_first",3,3.272897322975,0.172528836156493,0.875,0.03125,"first","austin","2","1","r"
"0_026","A_second",1,4.9476351738,NA,0.65625,NA,"second","austin","0","0","u"
"0_040","A_second",1,3.52407693863,NA,0.90625,NA,"second","austin","0","0","u"
"0_049","A_second",3,4.00392647584167,0.389750650823461,0.875,0.0541265877365274,"second","austin","0","0","u"
"1_001","A_second",2,4.457016587255,0.252473278159529,0.875,0.0441941738241592,"second","austin","1","1","r"
"1_004","A_second",2,5.776787161825,0.231501006340673,0.890625,0.0220970869120796,"second","austin","1","1","r"
"1_015","A_second",3,6.33792396386333,0.561440816738581,0.739583333333333,0.0650520624833166,"second","austin","1","1","r"
"1_020","A_second",3,4.50024151801833,0.552727597682893,0.833333333333333,0.0180421959121758,"second","austin","1","1","r"
"1_028","A_second",3,3.42731634776,0.119435170758627,0.78125,0.0625,"second","austin","1","1","r"
"1_036","A_second",2,5.0330992937075,0.404534049966967,0.703125,0.0220970869120796,"second","austin","1","1","u"
"2_005","A_second",3,5.033281763395,0.724358369630896,0.864583333333333,0.0650520624833166,"second","austin","2","1","u"
"2_008","A_second",3,4.49071208636,0.268971444724783,0.916666666666667,0.0477351634891233,"second","austin","2","1","r"
"2_010","A_second",3,4.52419618765667,0.548268526503094,0.84375,0.0826797284707685,"second","austin","2","1","r"
"2_031","A_second",2,3.821044683455,0.080935773305647,0.921875,0.0662912607362388,"second","austin","2","1","r"
"2_034","A_second",2,5.3537202477475,0.749459222026171,0.71875,0.0441941738241592,"second","austin","2","1","u"
"2_048","A_second",2,5.18254649639,0.325208960624199,0.90625,0.0883883476483184,"second","austin","2","1","u"
"0_104","A2_first",3,4.02640509605667,0.181009058163345,0.916666666666667,0.0650520624833166,"first","austin","0","0","u"
"0_122","A2_first",2,4.3093944788,0.173947630234295,0.84375,0.0883883476483184,"first","austin","0","0","r"
"0_124","A2_first",2,3.1208737492575,0.243406900989814,0.890625,0.110485434560398,"first","austin","0","0","r"
"0_137","A2_first",3,4.49437634150333,0.112379202867576,0.833333333333333,0.0477351634891233,"first","austin","0","0","r"
"0_140","A2_first",3,5.35560711224833,0.426319238920248,0.84375,0.0826797284707685,"first","austin","0","0","r"
"0_143","A2_first",3,4.44697833061167,0.519410159724352,0.875,0.0541265877365274,"first","austin","0","0","r"
"0_145","A2_first",2,4.084182083605,0.916803452623052,0.953125,0.0220970869120796,"first","austin","0","0","r"
"0_151","A2_first",3,4.788208007815,0.181775723810596,0.84375,0.0826797284707685,"first","austin","0","0","u"
"1_133","A2_first",3,4.10559570789167,0.267848980022189,0.833333333333333,0.0477351634891233,"first","austin","1","1","r"
"1_141","A2_first",3,4.75526205698333,0.946778382677262,0.78125,0.108253175473055,"first","austin","1","1","r"
"1_147","A2_first",2,5.73736524582,0.123974617720252,0.75,0.0883883476483184,"first","austin","1","1","u"
"1_157","A2_first",3,2.99895377954,0.200219870794722,0.927083333333333,0.0180421959121758,"first","austin","1","1","u"
"1_173","A2_first",3,3.24804151058333,0.140492705679465,0.916666666666667,0.0650520624833166,"first","austin","1","1","r"
"0_122","A2_second",3,3.37304747104833,0.207221127519984,0.90625,0.09375,"second","austin","0","0","r"
"0_123","A2_second",3,4.16110066572833,0.338387409920013,0.927083333333333,0.0477351634891233,"second","austin","0","0","u"
"0_124","A2_second",1,2.54850816727,NA,0.96875,NA,"second","austin","0","0","r"
"0_137","A2_second",3,4.70510355631333,0.0658843815790129,0.833333333333333,0.0477351634891233,"second","austin","0","0","r"
"0_140","A2_second",3,4.58185696602,0.129750480072506,0.90625,0.03125,"second","austin","0","0","r"
"0_143","A2_second",3,4.28456493218667,0.0925633876132405,0.8125,0.03125,"second","austin","0","0","r"
"0_145","A2_second",3,3.53207019964667,0.37742071295119,0.979166666666667,0.0180421959121758,"second","austin","0","0","r"
"1_115","A2_second",1,3.69735646248,NA,1,NA,"second","austin","1","1","u"
"1_129","A2_second",3,3.26969265937833,0.0780305841070865,0.791666666666667,0.0954703269782467,"second","austin","1","1","u"
"1_133","A2_second",3,4.444678346315,0.0599671393533925,0.895833333333333,0.0180421959121758,"second","austin","1","1","r"
"1_134","A2_second",2,4.2603956461,0.634306529754057,0.75,0.0441941738241592,"second","austin","1","1","u"
"1_141","A2_second",2,4.6175352334975,0.229127633001382,0.890625,0.110485434560398,"second","austin","1","1","r"
"1_173","A2_second",3,3.90106189251,0.384086001182485,0.895833333333333,0.078644108700737,"second","austin","1","1","r"
"1986_1","H_second",2,4.70817271904,0.280793341391558,0.734375,0.0220970869120796,"second","houston","1","1","u"
"2436_2","H_second",3,3.76593951256833,0.30042194849251,0.875,0.0826797284707685,"second","houston","2","1","u"
"2569_2","H_second",3,5.42157744010167,0.946131141682093,0.760416666666667,0.154152589447383,"second","houston","2","1","u"
"10238_1","H2_first",1,4.71075531891,NA,0.71875,NA,"first","houston","1","1","r"
"10297_1","H2_first",2,3.97103850851,0.165702810816473,0.859375,0.0220970869120796,"first","houston","1","1","u"
"10328_1","H2_first",3,4.10224508354,0.251777221738086,0.760416666666667,0.0721687836487032,"first","houston","1","1","r"
"10493_1","H2_first",2,3.3949568675825,0.393865087688963,0.921875,0.0220970869120796,"first","houston","1","1","r"
"O1794_1","H2_first",2,5.0013471556225,0.433305210343709,0.703125,0.0662912607362388,"first","houston","O","O","r"
"O5782_1","H2_first",3,3.900560738725,0.519440204626639,0.75,0.0826797284707685,"first","houston","O","O","u"
"O9087_1","H2_first",2,2.795789233705,0.365758297425759,0.921875,0.0220970869120796,"first","houston","O","O","r"
"10238_1","H2_second",1,4.419506195085,NA,0.75,NA,"second","houston","1","1","r"
"10328_1","H2_second",1,3.940496651795,NA,0.625,NA,"second","houston","1","1","r"
"10378_1","H2_second",3,4.56337689725333,0.477534129841399,0.927083333333333,0.0180421959121758,"second","houston","1","1","u"
"10493_1","H2_second",3,3.61897275440833,0.472931441003003,0.958333333333333,0.0477351634891233,"second","houston","1","1","r"
"10743_1","H2_second",1,5.08390111375,NA,0.65625,NA,"second","houston","1","1","u"
"10942_1","H2_second",3,3.63173782586,0.366029523476951,0.96875,0,"second","houston","1","1","u"
"12307_1","H2_second",3,4.230917491875,0.398899517076274,0.8125,0.0541265877365274,"second","houston","1","1","u"
"O1794_1","H2_second",2,4.6174824113825,0.030185819759334,0.796875,0.110485434560398,"second","houston","O","O","r"
"O9085_0","H2_second",1,4.398498483545,NA,0.8125,NA,"second","houston","O","O","u"
"O9087_1","H2_second",3,2.81725200555833,0.361647657258024,0.895833333333333,0.0650520624833166,"second","houston","O","O","r"
"c_032","A_control",3,4.03570652008,0.144007525133787,0.833333333333333,0.140914054775715,"control","austin","c","c","u"
"c_037","A_control",2,3.21496939659,0.115848873917656,0.953125,0.0662912607362388,"control","austin","c","c","u"
"c_039","A_control",3,3.79877646764167,0.811506018874432,0.854166666666667,0.0721687836487032,"control","austin","c","c","u"
"c_043","A_control",3,5.01504019895833,0.135629794398201,0.770833333333333,0.109746393258883,"control","austin","c","c","u"
"c_044","A_control",2,4.260716080665,0.128568961384371,0.890625,0.0220970869120796,"control","austin","c","c","u"
"c_045","A_control",2,3.151875913145,0.266484492184905,0.984375,0.0220970869120796,"control","austin","c","c","u"
"c_046","A_control",2,3.63723528385,0.39535311765911,0.984375,0.0220970869120796,"control","austin","c","c","u"
"c_047","A_control",2,3.4821256995175,0.409486557548811,0.890625,0.0662912607362388,"control","austin","c","c","u"
"c_058","A_control",2,1.72517955303,0.0633276629377797,0.96875,0,"control","austin","c","c","u"
"c_059","A_control",3,2.62736248970167,0.144669667546713,0.979166666666667,0.0180421959121758,"control","austin","c","c","u"
"c_061","A_control",3,4.06922904650333,0.121078947786675,0.822916666666667,0.0954703269782467,"control","austin","c","c","u"
"c_062","A_control",2,3.780950784685,0.0132776059780469,0.859375,0.0662912607362388,"control","austin","c","c","u"
"c_078","A_control",2,2.887956500055,0.353797336556726,0.90625,0.0883883476483184,"control","austin","c","c","u"
"c_079","A_control",3,4.48920675118833,1.00254662584596,0.916666666666667,0.0180421959121758,"control","austin","c","c","u"
"c_081","A_control",3,3.484649181365,0.715377017111773,0.895833333333333,0.0721687836487032,"control","austin","c","c","u"
"c_082","A_control",3,2.86636734008833,0.248250564714321,0.895833333333333,0.0360843918243516,"control","austin","c","c","u"
"c_084","A_control",3,3.412345369655,0.213976436961659,0.989583333333333,0.0180421959121758,"control","austin","c","c","u"
"c_085","A_control",2,3.32694900036,0.151773330302269,0.890625,0.0662912607362388,"control","austin","c","c","u"
"c_086","A_control",3,3.39153683185667,0.302035943830003,0.90625,0.03125,"control","austin","c","c","u"
"c_101","A_control",3,2.853226065635,0.321736801922922,0.947916666666667,0.090210979560879,"control","austin","c","c","u"
"c_103","A_control",2,4.3925229907025,0.110444383529249,0.734375,0.0662912607362388,"control","austin","c","c","u"
"8960_c","H_control_second",3,3.870483651785,0.15683163025918,0.8125,0.0541265877365274,"control","houston","c","c","u"
"8961_c","H_control_second",3,2.68804465187167,0.0396633858871325,0.9375,0.0625,"control","houston","c","c","u"
"8963_c","H_control_second",3,3.80346411992,0.424409891524386,0.947916666666667,0.0360843918243516,"control","houston","c","c","u"
"8967_c","H_control_second",3,3.12750664084667,0.105284914023499,0.958333333333333,0.0360843918243516,"control","houston","c","c","u"
"8972_c","H_control_second",3,3.73874545218833,0.0944180864088376,0.864583333333333,0.0477351634891233,"control","houston","c","c","u"
"8974_c","H_control_second",2,3.39930547187,0.180194779317758,0.953125,0.0662912607362388,"control","houston","c","c","u"
