"subind","group","N","go_rt_mean","go_rt_se","go_acc_mean","go_error_mean"
"ldrc_0_009","A_first",2,0.51789725,0.00805175000000002,0.953125,0.03125
"ldrc_0_018","A_first",2,0.58720075,0.01073325,0.958333333333333,0.0260416666666667
"ldrc_0_025","A_first",1,0.5983955,NA,0.958333333333333,0.0208333333333333
"ldrc_0_026","A_first",2,0.53991075,0.01489375,0.859375,0.0364583333333333
"ldrc_0_054","A_first",2,0.59974925,0.01252825,0.947916666666667,0.015625
"ldrc_0_057","A_first",1,0.6971995,NA,0.875,0.0208333333333333
"ldrc_1_004","A_first",2,0.62457925,0.01695275,0.942708333333333,0.0208333333333333
"ldrc_1_007","A_first",2,0.6208325,0.042322,0.927083333333333,0.0416666666666667
"ldrc_1_015","A_first",2,0.6320785,0.0450315,0.791666666666667,0.0364583333333333
"ldrc_1_020","A_first",2,0.71440575,0.00346624999999995,0.786458333333333,0.00520833333333333
"ldrc_1_028","A_first",2,0.719924,0.046522,0.875,0.015625
"ldrc_2_008","A_first",1,0.554959,NA,0.875,0.09375
"ldrc_2_010","A_first",2,0.7657275,0.0343025,0.838541666666667,0.0104166666666667
"ldrc_2_011","A_first",1,0.685591,NA,0.885416666666667,0.0208333333333333
"ldrc_2_027","A_first",2,0.6585125,0.077916,0.9375,0.015625
"ldrc_2_031","A_first",2,0.7116235,0.0346925,0.895833333333333,0.0104166666666667
"ldrc_0_013_second","A_second",2,0.534465,0.011224,0.84375,0.0364583333333333
"ldrc_0_026_second","A_second",1,0.510507,NA,0.885416666666667,0.0520833333333333
"ldrc_0_049_second","A_second",2,0.47104575,0.01192525,0.963541666666667,0.0208333333333333
"ldrc_1_001_second","A_second",1,0.7906785,NA,0.791666666666667,0.0104166666666667
"ldrc_1_004_second","A_second",2,0.63184775,0.01640625,0.979166666666667,0.015625
"ldrc_1_015_second","A_second",2,0.5768595,0.00219550000000002,0.796875,0.0208333333333333
"ldrc_1_020_second","A_second",2,0.669377,0.00903699999999996,0.885416666666667,0.015625
"ldrc_1_028_second","A_second",2,0.596813,0.06196,0.963541666666667,0.03125
"ldrc_1_036_second","A_second",2,0.6890265,0.0061195,0.791666666666667,0.015625
"ldrc_2_005_second","A_second",1,0.554085,NA,0.916666666666667,0.0625
"ldrc_2_008_second","A_second",2,0.517064,0.00143100000000002,0.958333333333333,0.0364583333333333
"ldrc_2_010_second","A_second",2,0.650648,0.064717,0.895833333333333,0.0208333333333333
"ldrc_2_031_second","A_second",1,0.725545,NA,0.927083333333333,0
"ldrc_2_034_second","A_second",1,0.615291,NA,0.90625,0.0208333333333333
"ldrc_2_048_second","A_second",2,0.6252065,0.0166885,0.911458333333333,0.0208333333333333
"ldrc_0_013_third","A_third",2,0.57617825,0.01475925,0.927083333333333,0.0260416666666667
"ldrc_0_026_third","A_third",1,0.54954,NA,0.947916666666667,0.0104166666666667
"ldrc_0_068_third","A_third",2,0.687295,0.031625,0.770833333333333,0.0104166666666667
"ldrc_1_001_third","A_third",1,0.699614,NA,0.739583333333333,0
"ldrc_1_004_third","A_third",2,0.7064425,0.0345415,0.817708333333333,0.0104166666666667
"ldrc_1_007_third","A_third",2,0.70354725,0.03155075,0.901041666666667,0.015625
"ldrc_1_036_third","A_third",2,0.53277025,0.02233475,0.979166666666667,0.015625
"ldrc_2_005_third","A_third",2,0.610064,0.012526,0.958333333333333,0.00520833333333333
"ldrc_2_008_third","A_third",2,0.4929105,0.0323435,0.979166666666667,0.015625
"ldrc_2_010_third","A_third",2,0.67101875,0.00937975000000002,0.911458333333333,0.00520833333333333
"ldrc_2_034_third","A_third",2,0.63084575,0.03391525,0.984375,0
"ldrc2_0_104","A2_first",2,0.72760975,0.00247824999999996,0.9375,0
"ldrc2_0_122","A2_first",2,0.7021615,0.0637835,0.833333333333333,0.0104166666666667
"ldrc2_0_123","A2_first",1,0.74165,NA,0.802083333333333,0.03125
"ldrc2_0_124","A2_first",2,0.64101275,0.02121125,0.979166666666667,0
"ldrc2_0_135","A2_first",1,0.638418,NA,0.78125,0.0208333333333333
"ldrc2_0_137","A2_first",2,0.5485415,0.00227350000000004,0.880208333333333,0.0625
"ldrc2_0_140","A2_first",1,0.7799035,NA,0.833333333333333,0
"ldrc2_0_143","A2_first",1,0.785544,NA,0.760416666666667,0.0208333333333333
"ldrc2_0_145","A2_first",1,0.62916,NA,0.822916666666667,0.0520833333333333
"ldrc2_0_151","A2_first",2,0.64329675,0.01442525,0.973958333333333,0
"ldrc2_0_172","A2_first",2,0.75544525,0.03827475,0.901041666666667,0.0104166666666667
"ldrc2_1_129","A2_first",1,0.5604735,NA,0.958333333333333,0.0104166666666667
"ldrc2_1_133","A2_first",2,0.6134015,0.0093895,0.911458333333333,0.015625
"ldrc2_1_139","A2_first",1,0.648455,NA,0.822916666666667,0.0416666666666667
"ldrc2_1_141","A2_first",2,0.571607,0.014251,0.848958333333333,0.0416666666666667
"ldrc2_1_147","A2_first",2,0.635728,0.00755600000000001,0.833333333333333,0.0572916666666667
"ldrc2_1_152","A2_first",1,0.745774,NA,0.802083333333333,0.0104166666666667
"ldrc2_1_157","A2_first",2,0.735887,0.030151,0.890625,0.015625
"ldrc2_0_122_second","A2_second",2,0.74189225,0.02837125,0.78125,0.0104166666666667
"ldrc2_0_123_second","A2_second",2,0.721888,0.023778,0.822916666666667,0.0104166666666667
"ldrc2_0_124_second","A2_second",2,0.66773175,0.0386232499999999,0.973958333333333,0.0104166666666667
"ldrc2_0_137_second","A2_second",2,0.59818625,0.000309750000000053,0.901041666666667,0.0416666666666667
"ldrc2_0_140_second","A2_second",2,0.675419,0.00665899999999997,0.911458333333333,0.03125
"ldrc2_0_143_second","A2_second",2,0.688434,0.0147740000000001,0.828125,0.015625
"ldrc2_0_145_second","A2_second",2,0.62355375,0.02019925,0.864583333333333,0
"ldrc2_1_115_second","A2_second",1,0.674424,NA,0.822916666666667,0
"ldrc2_1_125_second","A2_second",1,0.7022745,NA,0.75,0.0104166666666667
"ldrc2_1_129_second","A2_second",2,0.69019575,0.00609624999999997,0.880208333333333,0.015625
"ldrc2_1_133_second","A2_second",2,0.584254,0.024344,0.901041666666667,0.0416666666666667
"ldrc2_1_147_second","A2_second",2,0.635728,0.00755600000000001,0.833333333333333,0.0572916666666667
"H_LDFHO1627_2","H_first",1,0.665307,NA,0.625,0.0104166666666667
"H_LDFHO1986_1_second","H_second",1,0.75842,NA,0.770833333333333,0.0104166666666667
"H_LDFHO2436_2_second","H_second",2,0.731818,0.026097,0.8125,0.00520833333333333
"H_LDFHO2569_2_second","H_second",1,0.791779,NA,0.75,0
"H_LDFHO2748_1_second","H_second",1,0.5185045,NA,0.875,0.0625
"H_LDFHO1589_2_third","H_third",1,0.559373,NA,0.96875,0
"H_LDFHO1690_2_third","H_third",2,0.711847,0.00138049999999995,0.84375,0.015625
"H_LDFHO1697_1_third","H_third",1,0.737037,NA,0.885416666666667,0.0104166666666667
"H_LDFHO2079_2_third","H_third",2,0.60936675,0.01681875,0.755208333333333,0.0572916666666667
"H_LDFHO2167_2_third","H_third",2,0.54776675,0.00796574999999999,0.932291666666667,0.0208333333333333
"H_LDFHO2416_1_third","H_third",2,0.651977,0.028038,0.817708333333333,0
"H_LDFHO2479_1_third","H_third",2,0.617989,0.024125,0.921875,0.00520833333333333
"LDFHO10297_1","H2_first",1,0.632517,NA,0.916666666666667,0.0416666666666667
"LDFHO10328_1","H2_first",1,0.5644755,NA,0.895833333333333,0.0729166666666667
"LDFHO10394_1","H2_first",1,0.57968,NA,0.885416666666667,0.03125
"LDFHO10452_1","H2_first",2,0.54687175,0.02843725,0.848958333333333,0.0572916666666667
"LDFHO10493_1","H2_first",2,0.5599335,0.00389149999999999,0.947916666666667,0.0208333333333333
"LDFHO12307_1","H2_first",1,0.690834,NA,0.864583333333333,0.03125
"/LDFHO1794_1","H2_first",1,0.6168465,NA,0.75,0.0416666666666667
"/LDFHO5782_1","H2_first",2,0.66205925,0.00339774999999998,0.744791666666667,0.0520833333333333
"/LDFHO6598_0","H2_first",2,0.68996,0.0117055,0.822916666666667,0.00520833333333333
"/LDFHO9087_1","H2_first",2,0.48887125,0.02673075,0.880208333333333,0.0572916666666667
"LDFHO10328_1_second","H2_second",2,0.5678125,0.0054865,0.817708333333333,0.0416666666666667
"LDFHO10493_1_second","H2_second",1,0.683761,NA,0.833333333333333,0.0104166666666667
"LDFHO10942_1_second","H2_second",2,0.76078025,0.03637325,0.802083333333333,0.0260416666666667
"LDFHO12307_1_second","H2_second",2,0.61979,0.00838100000000003,0.916666666666667,0.0416666666666667
"/LDFHO1794_1_second","H2_second",1,0.600733,NA,0.822916666666667,0.0520833333333333
"/LDFHO9087_1_second","H2_second",2,0.5817785,0.0317295,0.942708333333333,0.00520833333333333
"ldrc_c_032","A_control",2,0.6331195,0.0321655,0.90625,0.0260416666666667
"ldrc_c_037","A_control",2,0.643495,0.038769,0.963541666666667,0.015625
"ldrc_c_039","A_control",2,0.6111955,0.00801650000000004,0.921875,0.046875
"ldrc_c_043","A_control",2,0.6287545,0.0220545,0.942708333333333,0.0104166666666667
"ldrc_c_044","A_control",2,0.658261,0.010295,0.885416666666667,0.015625
"ldrc_c_045","A_control",2,0.6303605,0.0132955,0.932291666666667,0.0208333333333333
"ldrc_c_046","A_control",2,0.581722,0.019094,0.973958333333333,0.015625
"ldrc_c_058","A_control",2,0.65785025,0.00328574999999998,0.901041666666667,0.0260416666666667
"ldrc_c_059","A_control",2,0.682645,0.00870999999999999,0.963541666666667,0.015625
"ldrc_c_061","A_control",2,0.58327175,0.02089075,0.911458333333333,0.046875
"ldrc_c_062","A_control",2,0.63147875,0.05533575,0.911458333333333,0.0260416666666667
"ldrc_c_078","A_control",2,0.579608,0.00960499999999997,0.932291666666667,0.0260416666666667
"ldrc_c_079","A_control",2,0.699471,0.068742,0.875,0
"ldrc_c_081","A_control",2,0.51995,0.014489,0.885416666666667,0.0572916666666667
"ldrc_c_082","A_control",2,0.589789,0.028729,0.921875,0.0416666666666667
"ldrc_c_084","A_control",2,0.70677675,0.04105025,0.84375,0.0104166666666667
"ldrc_c_085","A_control",2,0.5962785,0.00108049999999998,0.869791666666667,0.0729166666666667
"ldrc_c_086","A_control",2,0.61724,0.00535550000000007,0.885416666666667,0.0208333333333333
"ldrc_c_101","A_control",2,0.69665475,0.0511637499999999,0.84375,0.03125
"ldrc_c_103","A_control",2,0.62692725,0.01724575,0.776041666666667,0.0625
"H_LDIMG8957","H_control_first",2,0.70515275,0.04756175,0.8125,0.0208333333333333
"H_LDIMG8960","H_control_first",2,0.84118275,0.00631525000000005,0.802083333333333,0.00520833333333333
"H_LDIMG8961","H_control_first",2,0.789376,0.03375,0.848958333333333,0.00520833333333333
"H_LDIMG8963","H_control_first",2,0.62080625,0.01134075,0.932291666666667,0.0104166666666667
"H_LDIMG8965","H_control_first",2,0.50158375,0.01402125,0.953125,0.0104166666666667
"H_LDIMG8972","H_control_first",2,0.53390775,0.01358175,0.953125,0.03125
"H_LDIMG8960_c_second","H_control_second",2,0.67383275,0.02607225,0.963541666666667,0.00520833333333333
"H_LDIMG8961_c_second","H_control_second",2,0.633766,0.033759,0.979166666666667,0
"H_LDIMG8967_c_second","H_control_second",2,0.7481755,0.0082315,0.864583333333333,0.015625
"H_LDIMG8972_c_second","H_control_second",1,0.6160895,NA,0.9375,0.0208333333333333
"H_LDIMG8960_c_third","H_control_third",2,0.7680225,0.000777499999999986,0.828125,0
"H_LDIMG8963_c_third","H_control_third",2,0.52302575,0.01656225,0.984375,0
