"subind","N","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","groups"
"0_009",2,0.484375,0.515625,0.5,0.5,0.2515625,0.52148159375,0.26991909375,"A_first"
"0_025",1,0.5625,0.4375,0.4375,0.4375,0.378125,0.581153875,0.203028875,"A_first"
"0_026",2,0.453125,0.546875,0.515625,0.515625,0.221875,0.558677984375,0.336802984375,"A_first"
"1_004",2,0.546875,0.453125,0.453125,0.453125,0.3265625,0.612925375,0.286362875,"A_first"
"1_007",2,0.515625,0.484375,0.484375,0.484375,0.3296875,0.613861875,0.284174375,"A_first"
"1_015",2,0.5,0.5,0.453125,0.453125,0.27578125,0.6200299375,0.3442486875,"A_first"
"1_020",2,0.609375,0.390625,0.390625,0.390625,0.4796875,0.65264059375,0.17295309375,"A_first"
"1_028",2,0.546875,0.453125,0.4375,0.4375,0.5,0.709539375,0.209539375,"A_first"
"2_008",2,0.5,0.5,0.4375,0.4375,0.3703125,0.55090325,0.18059075,"A_first"
"2_010",2,0.671875,0.328125,0.328125,0.328125,0.5921875,0.70829840625,0.11611090625,"A_first"
"2_011",1,0.5625,0.4375,0.4375,0.4375,0.4,0.657942,0.257942,"A_first"
"2_027",2,0.546875,0.453125,0.453125,0.453125,0.4796875,0.6452541875,0.1655666875,"A_first"
"2_031",2,0.609375,0.390625,0.390625,0.390625,0.4765625,0.653926296875,0.177363796875,"A_first"
"0_013_second",2,0.5,0.5,0.46875,0.46875,0.296875,0.532651375,0.235776375,"A_second"
"0_026_second",1,0.46875,0.53125,0.5,0.5,0.20625,0.518291375,0.312041375,"A_second"
"0_049_second",2,0.5,0.5,0.421875,0.421875,0.25,0.47104575,0.22104575,"A_second"
"0_055_second",1,0.53125,0.46875,0.46875,0.46875,0.325,0.62038165625,0.29538165625,"A_second"
"1_001_second",1,0.625,0.375,0.375,0.375,0.625,0.7562145,0.1312145,"A_second"
"1_004_second",2,0.546875,0.453125,0.453125,0.453125,0.353125,0.616768140625,0.263643140625,"A_second"
"1_015_second",2,0.53125,0.46875,0.453125,0.453125,0.31875,0.563613578125,0.244863578125,"A_second"
"1_020_second",2,0.546875,0.453125,0.4375,0.4375,0.3609375,0.641665375,0.280727875,"A_second"
"1_028_second",2,0.53125,0.46875,0.421875,0.421875,0.353125,0.592288,0.239163,"A_second"
"1_036_second",2,0.5625,0.4375,0.4375,0.4375,0.390625,0.6590240625,0.2683990625,"A_second"
"2_005_second",1,0.53125,0.46875,0.34375,0.34375,0.325,0.54359121875,0.21859121875,"A_second"
"2_008_second",2,0.515625,0.484375,0.484375,0.484375,0.2796875,0.5073833125,0.2276958125,"A_second"
"2_010_second",2,0.578125,0.421875,0.421875,0.421875,0.4453125,0.6080451875,0.1627326875,"A_second"
"2_031_second",1,0.5625,0.4375,0.4375,0.4375,0.471875,0.6985535,0.2266785,"A_second"
"2_034_second",1,0.53125,0.46875,0.46875,0.46875,0.3625,0.597116625,0.234616625,"A_second"
"2_048_second",2,0.53125,0.46875,0.453125,0.453125,0.3734375,0.6182186875,0.2447811875,"A_second"
"0_013_third",2,0.53125,0.46875,0.4375,0.4375,0.325,0.561941625,0.236941625,"A_third"
"0_026_third",1,0.46875,0.53125,0.5,0.5,0.23125,0.5574060625,0.3261560625,"A_third"
"1_001_third",2,0.625,0.375,0.375,0.375,0.59375,0.72732425,0.13357425,"A_third"
"1_004_third",2,0.546875,0.453125,0.453125,0.453125,0.396875,0.68848865625,0.29161365625,"A_third"
"1_007_third",2,0.59375,0.40625,0.40625,0.40625,0.4765625,0.669845984375,0.193283484375,"A_third"
"1_036_third",2,0.484375,0.515625,0.5,0.5,0.2734375,0.53819428125,0.26475678125,"A_third"
"2_005_third",2,0.5625,0.4375,0.4375,0.4375,0.4,0.5851135,0.1851135,"A_third"
"2_008_third",2,0.5,0.5,0.484375,0.484375,0.284375,0.4929105,0.2085355,"A_third"
"2_010_third",2,0.5625,0.4375,0.40625,0.40625,0.4671875,0.652480421875,0.185292921875,"A_third"
"2_034_third",2,0.5625,0.4375,0.4375,0.4375,0.3875,0.61259953125,0.22509953125,"A_third"
"ldrc2_0_104",2,0.578125,0.421875,0.421875,0.421875,0.446875,0.700379375,0.253504375,"A_first2"
"ldrc2_0_122",2,0.609375,0.390625,0.390625,0.390625,0.4890625,0.674647,0.1855845,"A_first2"
"ldrc2_0_123",2,0.5625,0.4375,0.4375,0.4375,0.4375,0.69432159375,0.25682159375,"A_first2"
"ldrc2_0_124",2,0.5625,0.4375,0.4375,0.4375,0.4,0.62777384375,0.22777384375,"A_first2"
"ldrc2_0_128",2,0.515625,0.484375,0.46875,0.46875,0.38125,0.638406375,0.257156375,"A_first2"
"ldrc2_0_135",2,0.5,0.5,0.46875,0.46875,0.3375,0.6192955,0.2817955,"A_first2"
"ldrc2_0_137",2,0.5,0.5,0.40625,0.40625,0.25,0.5485415,0.2985415,"A_first2"
"ldrc2_0_140",1,0.5625,0.4375,0.4375,0.4375,0.490625,0.7644558125,0.2738308125,"A_first2"
"ldrc2_0_145",2,0.5625,0.4375,0.40625,0.40625,0.353125,0.5933413125,0.2402163125,"A_first2"
"ldrc2_0_151",2,0.5625,0.4375,0.421875,0.421875,0.4078125,0.62948321875,0.22167071875,"A_first2"
"ldrc2_0_172",2,0.578125,0.421875,0.421875,0.421875,0.484375,0.73143978125,0.24706478125,"A_first2"
"ldrc2_0_175",2,0.546875,0.453125,0.4375,0.4375,0.35,0.53075728125,0.18075728125,"A_first2"
"ldrc2_1_129",2,0.515625,0.484375,0.46875,0.46875,0.334375,0.5591716875,0.2247966875,"A_first2"
"ldrc2_1_133",2,0.5625,0.4375,0.40625,0.40625,0.44375,0.59758415625,0.15383415625,"A_first2"
"ldrc2_1_139",2,0.578125,0.421875,0.421875,0.421875,0.4703125,0.659820125,0.189507625,"A_first2"
"ldrc2_1_141",2,0.53125,0.46875,0.4375,0.4375,0.3015625,0.56395878125,0.26239628125,"A_first2"
"ldrc2_1_143",2,0.59375,0.40625,0.40625,0.40625,0.5203125,0.72281153125,0.20249903125,"A_first2"
"ldrc2_1_147",2,0.546875,0.453125,0.34375,0.34375,0.2953125,0.5919435,0.296631,"A_first2"
"ldrc2_1_152",1,0.53125,0.46875,0.46875,0.46875,0.496875,0.73149525,0.23462025,"A_first2"
"ldrc2_1_157",2,0.578125,0.421875,0.421875,0.421875,0.5078125,0.70965759375,0.20184509375,"A_first2"
"1627_2",1,0.625,0.375,0.3125,0.3125,0.4625,0.63891675,0.17641675,"H_first"
"1986_1_second",2,0.65625,0.34375,0.3125,0.3125,0.6125,0.7229030625,0.1104030625,"H_second"
"2436_2_second",2,0.59375,0.40625,0.40625,0.40625,0.596875,0.69814134375,0.10126634375,"H_second"
"2569_2_second",2,0.65625,0.34375,0.34375,0.34375,0.6515625,0.73204078125,0.08047828125,"H_second"
"2748_1_second",2,0.59375,0.40625,0.34375,0.34375,0.3921875,0.49466140625,0.10247390625,"H_second"
"1589_2_third",1,0.59375,0.40625,0.40625,0.40625,0.33125,0.53711425,0.20586425,"H_third"
"1690_2_third",2,0.53125,0.46875,0.453125,0.453125,0.4921875,0.669400234375,0.177212734375,"H_third"
"1697_1_third",1,0.625,0.375,0.375,0.375,0.540625,0.6863955,0.1457705,"H_third"
"2079_2_third",2,0.546875,0.453125,0.40625,0.40625,0.3984375,0.5884570625,0.1900195625,"H_third"
"2167_2_third",2,0.515625,0.484375,0.484375,0.484375,0.36875,0.54021196875,0.17146196875,"H_third"
"2416_1_third",2,0.546875,0.453125,0.4375,0.4375,0.3828125,0.6314955,0.248683,"H_third"
"2479_1_third",2,0.53125,0.46875,0.46875,0.46875,0.39375,0.609102734375,0.215352734375,"H_third"
"2798_1_third",1,0.5625,0.4375,0.4375,0.4375,0.409375,0.5847006875,0.1753256875,"H_third"
"DFHO1794_1",2,0.390625,0.609375,0.546875,0.546875,0.1984375,0.5745609375,0.3761234375,"H2_first"
"DFHO5782_1",2,0.59375,0.40625,0.390625,0.390625,0.45,0.638281484375,0.188281484375,"H2_first"
"DFHO6598_0",2,0.5625,0.4375,0.4375,0.4375,0.496875,0.664407625,0.167532625,"H2_first"
"DFHO9087_1",2,0.5625,0.4375,0.4375,0.4375,0.35,0.46929825,0.11929825,"H2_first"
"FHO10238_1",2,0.609375,0.390625,0.375,0.375,0.4921875,0.55763340625,0.0654459062499999,"H2_first"
"FHO10328_1",2,0.53125,0.46875,0.375,0.375,0.390625,0.55997103125,0.16934603125,"H2_first"
"FHO10493_1",2,0.53125,0.46875,0.46875,0.46875,0.353125,0.552704578125,0.199579578125,"H2_first"
"FHO12307_1",2,0.546875,0.453125,0.453125,0.453125,0.3984375,0.663349875,0.264912375,"H2_first"
"c_032",1,0.53125,0.46875,0.46875,0.46875,0.40625,0.591801875,0.185551875,"A_control"
"c_037",2,0.5625,0.4375,0.421875,0.421875,0.390625,0.613487515625,0.222862515625,"A_control"
"c_039",2,0.5625,0.4375,0.421875,0.421875,0.446875,0.58972909375,0.14285409375,"A_control"
"c_043",2,0.53125,0.46875,0.453125,0.453125,0.3734375,0.6207195,0.247282,"A_control"
"c_044",2,0.546875,0.453125,0.453125,0.453125,0.440625,0.65247825,0.21185325,"A_control"
"c_045",2,0.515625,0.484375,0.390625,0.390625,0.3015625,0.6284294375,0.3268669375,"A_control"
"c_046",2,0.515625,0.484375,0.46875,0.46875,0.31875,0.573927765625,0.255177765625,"A_control"
"c_058",2,0.578125,0.421875,0.40625,0.40625,0.425,0.62610946875,0.20110946875,"A_control"
"c_059",2,0.546875,0.453125,0.453125,0.453125,0.3859375,0.67113509375,0.28519759375,"A_control"
"c_061",2,0.5625,0.4375,0.40625,0.40625,0.2921875,0.55410978125,0.26192228125,"A_control"
"c_062",2,0.546875,0.453125,0.421875,0.421875,0.428125,0.6095230625,0.1813980625,"A_control"
"c_078",2,0.546875,0.453125,0.4375,0.4375,0.3125,0.56840165625,0.25590165625,"A_control"
"c_079",2,0.59375,0.40625,0.40625,0.40625,0.4703125,0.675721,0.2054085,"A_control"
"c_081",2,0.546875,0.453125,0.40625,0.40625,0.371875,0.50806534375,0.13619034375,"A_control"
"c_082",2,0.546875,0.453125,0.453125,0.453125,0.3796875,0.57754184375,0.19785434375,"A_control"
"c_084",2,0.609375,0.390625,0.390625,0.390625,0.534375,0.66478209375,0.13040709375,"A_control"
"c_085",2,0.453125,0.546875,0.5,0.5,0.228125,0.6188818125,0.3907568125,"A_control"
"c_086",2,0.5,0.5,0.484375,0.484375,0.3234375,0.61724,0.2938025,"A_control"
"c_101",2,0.578125,0.421875,0.421875,0.421875,0.4109375,0.67594125,0.26500375,"A_control"
"c_103",2,0.5625,0.4375,0.375,0.375,0.4296875,0.611547234375,0.181859734375,"A_control"
"8957",2,0.640625,0.359375,0.34375,0.34375,0.528125,0.626469703125,0.098344703125,"H_control_first"
"8960",2,0.625,0.375,0.375,0.375,0.5828125,0.809039390625,0.226226890625,"H_control_first"
"8961",2,0.671875,0.328125,0.328125,0.328125,0.628125,0.73894484375,0.11081984375,"H_control_first"
"8963",2,0.578125,0.421875,0.421875,0.421875,0.440625,0.5954944375,0.1548694375,"H_control_first"
"8965",2,0.5,0.5,0.5,0.5,0.2875,0.50158375,0.21408375,"H_control_first"
"8972",2,0.515625,0.484375,0.4375,0.4375,0.2640625,0.532758,0.2686955,"H_control_first"
"8960_c_second",2,0.5625,0.4375,0.4375,0.4375,0.43125,0.64860153125,0.21735153125,"H_control_second"
"8961_c_second",2,0.578125,0.421875,0.421875,0.421875,0.45625,0.6130543125,0.1568043125,"H_control_second"
"8967_c_second",2,0.625,0.375,0.375,0.375,0.575,0.726657,0.151657,"H_control_second"
"8972_c_second",1,0.53125,0.46875,0.46875,0.46875,0.390625,0.601068875,0.210443875,"H_control_second"
"8974_c_second",1,0.6875,0.3125,0.3125,0.3125,0.66875,0.76110975,0.09235975,"H_control_second"
"8960_c_third",2,0.59375,0.40625,0.40625,0.40625,0.546875,0.74137846875,0.19450346875,"H_control_third"
"8963_c_third",2,0.5625,0.4375,0.4375,0.4375,0.3046875,0.503498234375,0.198810734375,"H_control_third"
